,theme,alt_theme,author,title,year,page_numbers,page_link
205,"Morality:  includes conventional Christian morality, slave interpretations, and slaves' moral conflicts.",,"Veney, Bethany","The Narrative of Bethany Veney, a Slave Woman",1889,7-8,/fpn/veney/veney.html#veney7
206,"Prayer meetings of slaves, secret (""Invisible Institution"")",,"Albert, Octavia V. Rogers",The House of Bondage,1890,11-13,/neh/albert/albert.html#albert11
207,"Prayer meetings of slaves, secret (""Invisible Institution"")",,"Bibb, Henry",Narrative of the Life and Adventures of Henry Bibb,1849,119-121,/neh/bibb/bibb.html#bibb119
208,"Prayer meetings of slaves, secret (""Invisible Institution"")",,Elizabeth,"Memoir of Old Elizabeth, a Coloured Woman",1863,10-12,/neh/eliza1/eliza1.html#eliza10
209,"Prayer meetings of slaves, secret (""Invisible Institution"")",,"Grandy, Moses",Narrative of the Life of Moses Grandy,1843,56-57,/fpn/grandy/grandy.html#grandy56
210,"Prayer meetings of slaves, secret (""Invisible Institution"")",,"Hughes, Louis",Thirty Years a Slave from Bondage to Freedom,1897,52-54,/fpn/hughes/hughes.html#hughes52
211,"Prayer meetings of slaves, secret (""Invisible Institution"")",,"Jacobs, Harriet Ann",Incidents in the Life of a Slave Girl,1861,103,/fpn/jacobs/jacobs.html#jac103
212,"Prayer meetings of slaves, secret (""Invisible Institution"")",,"Johnson, Thomas Lewis",Twenty-Eight Years a Slave,1909,17-19,/neh/johnson1/johnson.html#john17
213,"Prayer meetings of slaves, secret (""Invisible Institution"")",,"Jones, Friday",Days of Bondage,1883,17,/neh/fjones/jones.html#jones17
214,"Prayer meetings of slaves, secret (""Invisible Institution"")",,"Jones, Thomas H.",The Experience of Thomas H. Jones,1862,22-26,/fpn/jones/jones.html#AnoJone22
215,"Prayer meetings of slaves, secret (""Invisible Institution"")",,"Jones, Thomas",Experience and Personal Narrative of Uncle Tom Jones,1854,18-20,/neh/jonestom/jones.html#tom18
216,"Prayer meetings of slaves, secret (""Invisible Institution"")",,"McCray, S. J.",Life of Mary F. McCray,1898,10-13,/neh/mccray/mary.html#McCMary10
217,"Prayer meetings of slaves, secret (""Invisible Institution"")",,"Parker, Allen",Recollections of Slavery Times,1895,67-68,/neh/parker/parker.html#parker67
218,"Prayer meetings of slaves, secret (""Invisible Institution"")",,"Robinson, Rev. William H.",From Log Cabin to the Pulpit,1913,78-80,/fpn/robinson/robinson.html#robinson78
219,"Prayer meetings of slaves, secret (""Invisible Institution"")",,"Smith, James Lindsay",Autobiography of James L. Smith,1881,30-34,/neh/smithj/smithj.html#jsmith30
220,"Prayer meetings of slaves, secret (""Invisible Institution"")",,"Stevens, Charles Emery",Anthony Burns,1856,166-167,/neh/stevens/stevens.html#steve166
221,"Prayer meetings of slaves, secret (""Invisible Institution"")",,"Thompson, John",The Life of John Thompson,1856,19,/neh/thompson/thompson.html#thomp19
222,"Prayer meetings of slaves, secret (""Invisible Institution"")",,"Upham, Mrs. T. C.",Narrative of Phebe Ann Jacobs,1850?,5,/neh/upham/upham.html#jacobs5
223,"Preachers, black",,"Brown, Henry Box, and Charles Stearn",Narrative of Henry Box Brown,1849,38-39,/neh/boxbrown/boxbrown.html#p38
224,"Preachers, black",,"Bruce, Henry Clay",The New Man,1895,72-74,/fpn/bruce/bruce.html#bruce72
225,"Preachers, black",,"Douglass, Frederick",Life and Times of Frederick Douglass,1881,82-84,/neh/douglasslife/douglass.html#douglass82
226,"Preachers, black",,E. M. W. (Elizabeth Merwin Wickham),A Lost Family Found,1869,18-21,/neh/wickham/wickham.html#p18
227,"Preachers, black",,"Grandy, Moses",Narrative of the Life of Moses Grandy,1843,56-57,/fpn/grandy/grandy.html#grandy56
228,"Preachers, black",,"Gurley, Ralph Randolph",Sketch of the Life of the Rev. Lott Cary,1835,148,/neh/gurley/gurley.html#cary148
229,"Preachers, black",,"Jackson, Mattie J.",The Story of Mattie J. Jackson,1866,6,/neh/jacksonm/jackson.html#jackson6
230,"Preachers, black",,"James, Rev. Thomas","Life of Rev. Thomas James, by Himself",1886,6-7,/neh/jamesth/jamesth.html#james6
231,"Preachers, black",,"Jones, Friday",Days of Bondage,1883,17,/neh/fjones/jones.html#jones17
232,"Preachers, black",,"Lane, Isaac","Autobiography of Bishop Isaac Lane, LL.D.",1916,52-55,/fpn/lane/lane.html#lane52
233,"Preachers, black",,"Offley, G. W. (Greensbury Washington)",A Narrative of the Life and Labors of the Rev. G. W. Offley,1859,10,/neh/offley/offley.html#offley10
234,"Preachers, black",,"Pickard, Kate E. R.",The Kidnapped and the Ransomed,1856,180,/neh/pickard/pickard.html#pickard180
236,"Preachers, black",,"Singleton, William Henry",Recollections of My Slavery Days,1922,7,/neh/singleton/singleton.html#sing7
237,"Preachers, black",,"Smith, James Lindsay",Autobiography of James L. Smith,1881,26-28,/neh/smithj/smithj.html#jsmith26
238,"Preachers, black",,"Stevens, Charles Emery",Anthony Burns,1856,165-167,/neh/stevens/stevens.html#steve165
239,"Preachers, black",,"Troy, Rev. William",Hair-breadth Escapes from Slavery to Freedom,1861,28-29,/neh/troy/troy.html#p28
240,"Preachers, black",,"Williams, James",Narrative of James Williams,1838,25-27,/neh/williams/williams.html#williams25
241,"Religious experience, positive",,Aaron,The Light and Truth of Slavery,1845,4,/neh/aaron/aaron.html#p4
242,"Religious experience, positive",,"Allinson, William J.",Memoir of Quamino Buccau,1851,6-7,/neh/allinson/allinson.html#p6
243,"Religious experience, positive",,"Anderson, Thomas",Interesting Account of Thomas Anderson,1854?,1-2,/neh/anderson/anderson.html#Text
244,"Religious experience, positive",,"Anderson, William J.",Life and Narrative of William J. Anderson,1857,8-10,/neh/andersonw/andersonw.html#p8
245,"Religious experience, positive",,"Black, Leonard",The Life and Sufferings of Leonard Black ,1847,6,/neh/black/black.html#black6
246,"Religious experience, positive",,"Brinch, Boyrereau and Prentiss, Benjamin F. (Benjamin Franklin)","The Blind African Slave, or Memoirs of Boyrereau Brinch, Nick-named Jeffrey Brace",1817,204,/neh/brinch/brinch.html
247,"Religious experience, positive",,"Brown, William Wells",My Southern Home,1880,3,/neh/brown80/brown80.html#brown3
248,"Religious experience, positive",,"Bruce, Henry Clay",The New Man,1895,71-72,/fpn/bruce/bruce.html#bruce71
249,"Religious experience, positive",,"Charlton, Lewis, ed. by Edward Everett Brown",Sketch of the Life of Mr. Lewis Charlton,1870,4-5,/neh/charlton/charlton.html#char4
250,"Religious experience, positive",,"Davis, Noah",A Narrative of the Life of Rev. Noah Davis,1859,19-25,/neh/davisn/davis.html#davis19
251,"Religious experience, positive",,"Douglass, Frederick",Life and Times of Frederick Douglass,1881,82-84,/neh/douglasslife/douglass.html#douglass82
252,"Religious experience, positive",,"Douglass, Frederick",Life and Times of Frederick Douglass,1892,110-113,/neh/dougl92/dougl92.html#p110
253,"Religious experience, positive",,"Douglass, Frederick",My Bondage and My Freedom,1855,166-169,/neh/douglass55/douglass55.html#p166
254,"Religious experience, positive",,Elizabeth,"Memoir of Old Elizabeth, a Coloured Woman",1863,3-19,/neh/eliza1/eliza1.html#eliza3
255,"Religious experience, positive",,E. M. W. (Elizabeth Merwin Wickham),A Lost Family Found,1869,21,/neh/wickham/wickham.html#p21
256,"Religious experience, positive",,"Foster, G. L. (Gustavus Lemuel)",Uncle Johnson,1860,65-82,/neh/foster/foster.html#foster65
257,"Religious experience, positive",,"Grimes, William","Life of William Grimes, the Runaway Slave",1825,17,/neh/grimes25/grimes25.html#grime17
258,"Religious experience, positive",,"Hayden, William",Narrative of William Hayden,1846,4-8,/neh/hayden/hayden.html#p4
259,"Religious experience, positive",,"Jacobs, Harriet Ann",Incidents in the Life of a Slave Girl,1861,111-113,/fpn/jacobs/jacobs.html#jac111
260,"Religious experience, positive",,"Johnson, Thomas Lewis",Twenty-Eight Years a Slave,1909,9-19,/neh/johnson/johnson.html#john9
261,"Religious experience, positive",,"Jones, Friday",Days of Bondage,1883,1-3,/neh/fjones/jones.html#jones1
262,"Religious experience, positive",,"Jones, Thomas H.",The Experience of Thomas H. Jones,1862,26-29,/fpn/jones/jones.html#AnoJone26
263,"Religious experience, positive",,"Jones, Thomas",Experience and Personal Narrative of Uncle Tom Jones,1854,20,/neh/jonestom/jones.html#tom20
264,"Religious experience, positive",,"Long, Rev. John Dixon",Pictures of Slavery in Church and State,1857,162-163,/neh/long/long.html#long162
265,"Religious experience, positive",,"McCray, S. J.",Life of Mary F. McCray,1898,13-16,/neh/mccray/mary.html#McCMary13
266,"Religious experience, positive",,"Offley, G. W. (Greensbury Washington)",A Narrative of the Life and Labors of the Rev. G. W. Offley,1859,9-10,/neh/offley/offley.html#offley9
267,"Religious experience, positive",,"Pickard, Kate E. R.",The Kidnapped and the Ransomed,1856,180,/neh/pickard/pickard.html#pickard180
268,"Religious experience, positive",,"Singleton, William Henry",Recollections of My Slavery Days,1922,6-7,/neh/singleton/singleton.html#sing6
269,"Religious experience, positive",,"Smith, Rev. David, and Daniel Alexander Payne",Biography of Rev. David Smith of the A. M. E. Church,1881,12-14,/neh/dsmith/dsmith.html#dsmith12
270,"Religious experience, positive",,"Stevens, Charles Emery",Anthony Burns,1856,165,/neh/stevens/stevens.html#steve165
271,"Religious experience, positive",,"Upham, Mrs. T. C.",Narrative of Phebe Ann Jacobs,1850?,1-8,/neh/upham/upham.html#Text
272,"Religious experience, positive",,"Veney, Bethany","The Narrative of Bethany Veney, a Slave Woman",1889,15-17,/fpn/veney/veney.html#veney15
273,Religious practice ,,"Allinson, William J.",Memoir of Quamino Buccau,1851,8,/neh/allinson/allinson.html#p8
274,Religious practice ,,"Bibb, Henry",Narrative of the Life and Adventures of Henry Bibb,1849,23-24,/neh/bibb/bibb.html#bibb23
275,Religious practice ,,"Black, Leonard",The Life and Sufferings of Leonard Black ,1847,17,/neh/black/black.html#black17
276,Religious practice ,,"Brown, Henry Box",Narrative of the Life of Henry Box Brown,1851,28-32,/neh/brownbox/brownbox.html#brown28
277,Religious practice ,,"Brown, William Wells",My Southern Home,1880,3,/neh/brown80/brown80.html#brown3
278,Religious practice ,,"Brown, William Wells",Narrative of William W. Brown,1849,34-38,/fpn/brownw/brown.html#BroNarr34
279,Religious practice ,,"Bruce, Henry Clay",The New Man,1895,71-73,/fpn/bruce/bruce.html#bruce71
280,Religious practice ,,"Douglass, Frederick",Life and Times of Frederick Douglass,1881,31-32,/neh/douglasslife/douglass.html#douglass31
281,Religious practice ,,"Douglass, Frederick",Life and Times of Frederick Douglass,1892,47,/neh/dougl92/dougl92.html#p47
282,Religious practice ,,"Douglass, Frederick",My Bondage and My Freedom,1855,71-72,/neh/douglass55/douglass55.html#p71
283,Religious practice ,,E. M. W. (Elizabeth Merwin Wickham),A Lost Family Found,1869,19,/neh/wickham/wickham.html#p19
284,Religious practice ,,"Fedric, Francis",Slave Life in Virginia and Kentucky ,1863,26-28,/neh/fedric/fedric.html#fred26
285,Religious practice ,,"Hughes, Louis",Thirty Years a Slave from Bondage to Freedom,1897,90-91,/fpn/hughes/hughes.html#hughes90
286,Religious practice ,,"Jackson, Mattie J.",The Story of Mattie J. Jackson,1866,6,/neh/jacksonm/jackson.html#jackson6
287,Religious practice ,,"Jacobs, Harriet Ann",Incidents in the Life of a Slave Girl,1861,105-111,/fpn/jacobs/jacobs.html#jac105
288,Religious practice ,,"Johnson, Thomas Lewis",Twenty-Eight Years a Slave,1909,10,/neh/johnson1/johnson.html#john10
289,Religious practice ,,"Lane, Lunsford",The Narrative of Lunsford Lane,1842,21,/neh/lanelunsford/lane.html#lane21
290,Religious practice ,,"Long, Rev. John Dixon",Pictures of Slavery in Church and State,1857,164-165,/neh/long/long.html#long164
291,Religious practice ,,"Offley, G. W. (Greensbury Washington)",A Narrative of the Life and Labors of the Rev. G. W. Offley,1859,12,/neh/offley/offley.html#offley12
292,Religious practice ,,"Roper, Moses","A Narrative of the Adventures and Escape of Moses Roper, from American Slavery",1838,51,/fpn/roper/roper.html#roper51
293,Religious practice ,,"Randolph, Peter",Sketches of Slave Life,1855,32,/neh/randol55/randol55.html#rando32
294,Religious practice ,,"Singleton, William Henry",Recollections of My Slavery Days,1922,7,/neh/singleton/singleton.html#sing7
295,Religious practice ,,"Stevens, Charles Emery",Anthony Burns,1856,164-165,/neh/stevens/stevens.html#steve164
296,Religious practice ,,"Thompson, John",The Life of John Thompson,1856,43,/neh/thompson/thompson.html#thomp43
297,Religious practice ,,"Troy, Rev. William",Hair-breadth Escapes from Slavery to Freedom,1861,30,/neh/troy/troy.html#p30
298,Religious practice ,,"Watson, Henry",Narrative of Henry Watson,1848,28-31,/neh/watson/watson.html#watson28
299,Religious practice ,,"Albert, Octavia V. Rogers",The House of Bondage,1890,11-13,/neh/albert/albert.html#albert11
300,Religious practice ,,"Anderson, Thomas",Interesting Account of Thomas Anderson,1854?,3,/neh/anderson/anderson.html#ander3
301,Religious practice ,,"Bibb, Henry",Narrative of the Life and Adventures of Henry Bibb,1849,21,/neh/bibb/bibb.html#bibb21
302,Religious practice ,,"Brown, Henry Box",Narrative of the Life of Henry Box Brown,1851,13,/neh/brownbox/brownbox.html#brown13
303,Religious practice ,,"Brown, Henry Box, and Charles Stearn",Narrative of Henry Box Brown,1849,38-39,/neh/boxbrown/boxbrown.html#p38
305,Religious practice ,,"Douglass, Frederick",Life and Times of Frederick Douglass,1881,83-84,/neh/douglasslife/douglass.html#douglass83
306,Religious practice ,,"Douglass, Frederick",Life and Times of Frederick Douglass,1892,112,/neh/dougl92/dougl92.html#p112
307,Religious practice ,,"Douglass, Frederick",My Bondage and My Freedom,1855,168,/neh/douglass55/douglass55.html#p168
308,Religious practice ,,Elizabeth,"Memoir of Old Elizabeth, a Coloured Woman",1863,11-12,/neh/eliza1/eliza1.html#eliza11
309,Religious practice ,,E. M. W. (Elizabeth Merwin Wickham),A Lost Family Found,1869,19-20,/neh/wickham/wickham.html#p19
310,Religious practice ,,"Grandy, Moses",Narrative of the Life of Moses Grandy,1843,56-57,/fpn/grandy/grandy.html#grandy56
311,Religious practice ,,"Johnson, Isaac",Slavery Days in Old Kentucky,1901,24-25,/neh/johnson/johnson.html#p24
312,Religious practice ,,"Jones, Friday",Days of Bondage,1883,17,/neh/fjones/jones.html#jones17
313,Religious practice ,,"Jones, Thomas H.",The Experience of Thomas H. Jones,1862,22-25,/fpn/jones/jones.html#AnoJone22
314,Religious practice ,,"Jones, Thomas",Experience and Personal Narrative of Uncle Tom Jones,1854,17-19,/neh/jonestom/jones.html#tom17
315,Religious practice ,,"McCray, S. J.",Life of Mary F. McCray,1898,12-13,/neh/mccray/mary.html#McCMary12
316,Religious practice ,,"Offley, G. W. (Greensbury Washington)",A Narrative of the Life and Labors of the Rev. G. W. Offley,1859,15-17,/neh/offley/offley.html#offley15
317,Religious practice ,,"Roper, Moses","A Narrative of the Adventures and Escape of Moses Roper, from American Slavery",1838,52,/fpn/roper/roper.html#roper52
319,Religious practice ,,"Thompson, John",The Life of John Thompson,1856,18-19,/neh/thompson/thompson.html#thomp18
320,Religious practice ,,"Veney, Bethany","The Narrative of Bethany Veney, a Slave Woman",1889,16-17,/fpn/veney/veney.html#veney16
321,Religious practice ,,"Watson, Henry",Narrative of Henry Watson,1848,17,/neh/watson/watson.html#watson17
322,Religious practice ,,"Williams, James",Narrative of James Williams,1838,26,/neh/williams/williams.html#williams26
323,Resistance (religious motivation),,"Anderson, Thomas",Interesting Account of Thomas Anderson,1854?,3,/neh/anderson/anderson.html#ander3
324,Resistance (religious motivation),,"Black, Leonard",The Life and Sufferings of Leonard Black,1847,22-28,/neh/black/black.html#black22
325,Resistance (religious motivation),,"Johnstone, Abraham",The Address of Abraham Johnstone,1797,17-20,/neh/johnstone/johnstone.html#p17
326,Resistance (religious motivation),,"Jones, Friday",Days of Bondage,1883,3-4,/neh/fjones/jones.html#jones3
327,Resistance (religious motivation),,"Jones, Thomas H.",The Experience of Thomas H. Jones,1862,20-27,/fpn/jones/jones.html#AnoJone20
328,Resistance (religious motivation),,"Jones, Thomas",Experience and Personal Narrative of Uncle Tom Jones,1854,15-21,/neh/jonestom/jones.html#tom15
329,Resistance (religious motivation),,"Offley, G. W. (Greensbury Washington)",A Narrative of the Life and Labors of the Rev. G. W. Offley,1859,17-20,/neh/offley/offley.html#offley17
330,Resistance (religious motivation),,"Thompson, John",The Life of John Thompson,1856,25-26,/neh/thompson/thompson.html#thomp25
331,Resistance (religious motivation),,"Watson, Henry",Narrative of Henry Watson,1848,35,/neh/watson/watson.html#watson35
332,Revivals,,"Anderson, Thomas",Interesting Account of Thomas Anderson,1854?,1-2,/neh/anderson/anderson.html#Text
333,Revivals,,"Capehart, L. C.",Reminiscences of Isaac and Sukey,1907,11,/neh/capehart/capehart.html#cape11
334,Revivals,,"Douglass, Frederick",Life and Times of Frederick Douglass,1881,100-102,/neh/douglasslife/douglass.html#douglass100
335,Revivals,,"Jones, Friday",Days of Bondage,1883,3,/neh/fjones/jones.html#jones3
336,Revivals,,"Long, Rev. John Dixon",Pictures of Slavery in Church and State,1857,157-161,/neh/long/long.html#long157
337,Revivals,,"Offley, G. W. (Greensbury Washington)",A Narrative of the Life and Labors of the Rev. G. W. Offley,1859,16-17,/neh/offley/offley.html#offley16
338,Revivals,,"Roper, Moses","A Narrative of the Adventures and Escape of Moses Roper, from American Slavery",1838,55,/fpn/roper/roper.html#roper55
339,Revivals,,"Singleton, William Henry",Recollections of My Slavery Days,1922,6-7,/neh/singleton/singleton.html#sing6
340,Revivals,,"Smith, James Lindsay",Autobiography of James L. Smith,1881,31-32,/neh/smithj/smithj.html#jsmith31
341,Revivals,,"Thompson, John",The Life of John Thompson,1856,25,/neh/thompson/thompson.html#thomp25
342,Revivals,,"Upham, Mrs. T. C.",Narrative of Phebe Ann Jacobs,1850?,5,/neh/upham/upham.html#jacobs5
343,Revivals,,"Veney, Bethany","The Narrative of Bethany Veney, a Slave Woman",1889,15-16,/fpn/veney/veney.html#veney15
344,Revivals,,"Williams, Isaac",Aunt Sally,1858,35-44,/neh/sally/sally.html#sally35
345,"Sabbath, slaves' observance",,"Allinson, William J.",Memoir of Quamino Buccau,1851,6,/neh/allinson/allinson.html#p6
346,"Sabbath, slaves' observance",,Anonymous,The Life of Joice Heth,1835,9,/neh/heth/heth.html#heth9
347,"Sabbath, slaves' observance",,"Beard, Rev. John Relly",The Life of Toussaint L'Ouverture,1853,29,/neh/beardj/beard.html#beard29
348,"Sabbath, slaves' observance",,"Bibb, Henry",Narrative of the Life and Adventures of Henry Bibb,1849,21-24,/neh/bibb/bibb.html#bibb21
349,"Sabbath, slaves' observance",,"Black, Leonard",The Life and Sufferings of Leonard Black,1847,17,/neh/black/black.html#black17
350,"Sabbath, slaves' observance",,"Brown, Rebecca Warren[?]",Memoir of Mrs. Chloe Spear,1832,21,/neh/brownrw/brownrw.html#spear21
351,"Sabbath, slaves' observance",,"Brown, William Wells",My Southern Home,1880,3,/neh/brown80/brown80.html#brown3
352,"Sabbath, slaves' observance",,"Brown, William Wells",Narrative of William W. Brown,1849,35,/fpn/brownw/brown.html#BroNarr35
353,"Sabbath, slaves' observance",,"Davis, Noah",A Narrative of the Life of Rev. Noah Davis,1859,10,/neh/davisn/davis.html#davis10
354,"Sabbath, slaves' observance",,Elizabeth,"Memoir of Old Elizabeth, a Coloured Woman",1863,3,/neh/eliza1/eliza1.html#eliza3
355,"Sabbath, slaves' observance",,E. M. W. (Elizabeth Merwin Wickham),A Lost Family Found,1869,5,/neh/wickham/wickham.html#p5
356,"Sabbath, slaves' observance",,"Fedric, Francis",Slave Life in Virginia and Kentucky,1863,26-27,/neh/fedric/fedric.html#fred26
357,"Sabbath, slaves' observance",,"Ferebee, Rev. L. R.",A Brief History of the Slave Life of Rev. L. R . Ferebee,1882,10,/fpn/ferebee/ferebee.html#ferebee10
358,"Sabbath, slaves' observance",,"Foster, G. L. (Gustavus Lemuel)",Uncle Johnson,1860,76,/neh/foster/foster.html#foster76
359,"Sabbath, slaves' observance",,"Gurley, Ralph Randolph",Sketch of the Life of the Rev. Lott Cary,1835,148,/neh/gurley/gurley.html#cary148
360,"Sabbath, slaves' observance",,"Horton, George Moses",Life of George M. Horton,1845,vi-viii,/fpn/hortonlife/horton.html#hort6
361,"Sabbath, slaves' observance",,"Johnstone, Abraham",The Address of Abraham Johnstone,1797,15,/neh/johnstone/johnstone.html#p15
362,"Sabbath, slaves' observance",,"Lane, Lunsford",The Narrative of Lunsford Lane,1842,21,/neh/lanelunsford/lane.html#lane21
363,"Sabbath, slaves' observance",,"Offley, G. W. (Greensbury Washington)",A Narrative of the Life and Labors of the Rev. G. W. Offley,1859,10,/neh/offley/offley.html#offley10
364,"Sabbath, slaves' observance",,"Randolph, Peter",Sketches of Slave Life,1855,19-20,/neh/randol55/randol55.html#rando19
366,"Sabbath, slaves' observance",,"Upham, Mrs. T. C.",Narrative of Phebe Ann Jacobs,1850?,5-6,/neh/upham/upham.html#jacobs5
367,"Sabbath, slaves' observance",,"Watson, Henry",Narrative of Henry Watson,1848,17,/neh/watson/watson.html#watson17
368,"Sabbath, slaves' observance",,"Williams, Isaac",Aunt Sally,1858,166-169,/neh/sally/sally.html#sally166
369,Spirituals,,Aaron,The Light and Truth of Slavery,1845,21,/neh/aaron/aaron.html#p21
370,Spirituals,,"Adams, John Quincy",Narrative of the Life of John Quincy Adams,1872,32-34,/neh/adams/adams.html#adams32
371,Spirituals,,"Albert, Octavia V. Rogers",The House of Bondage,1890,31-33,/neh/albert/albert.html#albert31
372,Spirituals,,"Douglass, Frederick",Life and Times of Frederick Douglass,1881,44,/neh/douglasslife/douglass.html#douglass44
373,Spirituals,,"Green, William",Narrative of Events in the Life of William Green,1853,22-23,/neh/greenw/greenw.html#green22
374,Spirituals,,"Jackson, John Andrew",The Experience of a Slave in South Carolina,1862,35-39,/fpn/jackson/jackson.html#Jack35
375,Spirituals,,"Johnson, Thomas Lewis",Twenty-Eight Years a Slave,1909,9-11,/neh/johnson1/johnson.html#john9
376,Spirituals,,,"A Narrative of ""Griswold""",1845,13-16,/neh/griswold/griswold.html#griswold13
377,Spirituals,,"Parker, Allen",Recollections of Slavery Times,1895,68-70,/neh/parker/parker.html#parker68
378,Spirituals,,"Randolph, Peter",Sketches of Slave Life,1855,29-31,/neh/randol55/randol55.html#rando29
379,Spirituals,,"Veney, Bethany","The Narrative of Bethany Veney, a Slave Woman",1889,9,/fpn/veney/veney.html#veney9
380,Spirituals,,"Washington, Booker T.",Up From Slavery,1901,19-20,/fpn/washington/washing.html#washing19
381,Spirituals,,"Jacobs, Harriet Ann",Incidents in the Life of a Slave Girl,1861,107-109,/fpn/jacobs/jacobs.html#jac107
382,Spirituals,,"Bradford, Sarah H. (Sarah Hopkins)",Scenes in the Life of Harriet Tubman,1869,44,/neh/bradford/bradford.html#bradf44
383,Spirituals,,"Brown, William Wells",My Southern Home,1880,191-194,/neh/brown80/brown80.html#brown191
384,Spirituals,,"Parker, Allen",Recollections of Slavery Times,1895,66-69,/neh/parker/parker.html#parker66
385,Spirituals,,"Randolph, Peter",Sketches of Slave Life,1855,30-31,/neh/randol55/randol55.html#rando30
386,Spirituals,,"Smith, James Lindsay",Autobiography of James L. Smith,1881,27,/neh/smithj/smithj.html#jsmith27
387,Spirituals,,"Brown, William Wells",My Southern Home,1880,191-194,/neh/brown80/brown80.html#brown191
388,Spirituals,,"Capehart, L. C.",Reminiscences of Isaac and Sukey,1907,11,/neh/capehart/capehart.html#cape11
389,Spirituals,,"Foster, G. L. (Gustavus Lemuel)",Uncle Johnson,1860,70-71,/neh/foster/foster.html#foster70
390,Spirituals,,"Jones, Friday",Days of Bondage,1883,17-18,/neh/fjones/jones.html#jones17
391,Spirituals,,"Pickard, Kate E. R.",The Kidnapped and the Ransomed,1856,179-180,/neh/pickard/pickard.html#pickard179
392,Spirituals,,"Smith, James Lindsay",Autobiography of James L. Smith,1881,27,/neh/smithj/smithj.html#jsmith27
